country,adm0,Province,adm1,lon,lat,continent,surv_qual,logpop,temp_max,temp_min,temp_mean,precip_max,precip_min,precip_mean
Bangladesh,BGD,Rangpur,BGD.6_1,89.05595214,25.77789514,Asia,0,7.246032989,33.73410314,10.67275368,22.20342841,485.8926242,2.131803247,183.4951153
Bangladesh,BGD,Sylhet,BGD.7_1,91.6637289,24.71534264,Asia,0,7.042109199,32.20503057,11.12259976,21.66381517,636.4414045,5.893021497,259.40647
Bahrain,BHR,Capital,BHR.1_1,50.57488264,26.21799717,Asia,0,5.574028428,38.26296296,13.92222222,26.09259259,17,0,5.941358025
Bahrain,BHR,Central,BHR.2_1,50.57629287,26.15093033,Asia,0,5.62929652,38.27058824,13.86117647,26.06588235,17,0,5.911764706
Bahrain,BHR,Muharraq,BHR.3_1,50.64406405,26.24418868,Asia,0,5.326467474,38.42380952,14.16190476,26.29285714,17.19047619,0,6.015873016
Bahrain,BHR,Northern,BHR.4_1,50.47771856,26.15487203,Asia,0,5.637787868,38.34013605,13.62585034,25.9829932,17,0,5.799319728
Bahrain,BHR,Southern,BHR.5_1,50.57935079,25.94648983,Asia,0,5.087060767,38.88831967,13.52192623,26.20512295,16.75,0,5.822404372
Brunei,BRN,Belait,BRN.1_1,114.5481872,4.37664622,Asia,0,4.816957923,31.109991,23.30372037,27.20685569,354.719772,206.8154815,272.6191369
Brunei,BRN,Brunei and Muara,BRN.2_1,114.9145401,4.90593088,Asia,0,5.489265812,31.38783784,24.01824324,27.70304054,365.5996622,157.1655405,256.2949043
Brunei,BRN,Temburong,BRN.3_1,115.1851814,4.61259108,Asia,0,3.959542379,30.04350736,22.68500669,26.36425703,360.9109772,234.8286479,301.7743195
Brunei,BRN,Tutong,BRN.4_1,114.7202039,4.63675361,Asia,0,4.660265453,31.11642803,23.54717408,27.33180106,362.1492087,190.8553127,266.8249812
Bhutan,BTN,Bumthang,BTN.1_1,90.74313492,27.6993058,Asia,0,4.279855617,16.55181666,-12.69463387,1.928591392,153.1931247,1.633594187,52.70169555
Bhutan,BTN,Chhukha,BTN.2_1,89.54473142,26.98730982,Asia,0,4.953070689,22.3778363,0.763128039,11.57048217,618.6357374,4.927471637,210.9100486
Bhutan,BTN,Dagana,BTN.3_1,89.8714795,26.99838348,Asia,0,4.43473044,23.62851441,1.760221729,12.69436807,657.7228381,5.664301552,230.9250924
Bhutan,BTN,Gasa,BTN.4_1,89.89315697,27.998772,Asia,0,3.43782219,13.75004829,-16.93947368,-1.594712699,105.5535973,1.192419121,33.62393369
Bhutan,BTN,Haa,BTN.5_1,89.15125094,27.3125432,Asia,0,4.230173315,17.19497407,-8.567969685,4.313502194,262.7227762,3.352612684,95.39369765
Bhutan,BTN,Lhuentse,BTN.6_1,91.12920263,27.76888111,Asia,0,4.24404637,19.74244433,-8.640455992,5.550994168,219.0124602,2.519353128,79.06426741
Bhutan,BTN,Monggar,BTN.7_1,91.2205606,27.26440943,Asia,0,4.64085035,24.50416667,0.365290881,12.43472877,464.9595126,5.949685535,170.9400223
Bhutan,BTN,Paro,BTN.8_1,89.3666165,27.49475194,Asia,0,4.626889522,16.7846473,-10.74096028,3.021843509,186.8589212,2.650266746,71.04243233
Bhutan,BTN,Pemagatshel,BTN.9_1,91.30931952,26.9542401,Asia,0,4.423277759,27.60210685,5.70662152,16.65436418,663.3950339,8.819413093,234.2032857
Bhutan,BTN,Punakha,BTN.10_1,89.84998467,27.66345496,Asia,0,4.366195058,21.36178082,-4.481369863,8.440205479,349.1650685,3.704794521,123.6367009
Bhutan,BTN,Samdrupjongkhar,BTN.11_1,91.77735741,26.97083228,Asia,0,4.634441081,26.68750509,3.821082621,15.25429385,496.9413919,7.158323158,181.0063085
Bhutan,BTN,Samtse,BTN.12_1,89.06167744,27.02441296,Asia,0,4.82242535,24.51502046,4.845879603,14.68045003,762.974284,4.804792519,242.9881648
Bhutan,BTN,Sarpang,BTN.13_1,90.41927576,26.9637602,Asia,0,4.657268852,26.21263255,4.899953896,15.55629322,729.0179806,7.526970954,264.6929461
Bhutan,BTN,Thimphu,BTN.14_1,89.54013943,27.5994103,Asia,0,5.039673865,15.46068557,-13.23393991,1.113372831,153.7380449,1.95556496,55.77796586
Bhutan,BTN,Trashigang,BTN.15_1,91.7420595,27.27284337,Asia,0,4.778770574,21.83047981,-4.082464619,8.874007594,293.3127373,4.232999655,112.8098895
Bhutan,BTN,Trongsa,BTN.16_1,90.49601828,27.41865467,Asia,0,4.191565728,20.74110971,-5.174022699,7.783543506,328.9722573,3.565783943,120.4348466
Bhutan,BTN,Tsirang,BTN.17_1,90.1466321,27.02430815,Asia,0,4.348005721,24.84054697,3.443400713,14.14197384,717.4007134,6.514863258,254.3832739
